n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1951,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,699.47,-443.5600000000002,1143.0300000000002,0.009314414093066279,1.0,0.0,0,0.0,0.0,0.0,0.0,6,,1,1.0,False,,False,False,0.0,0.0,0.0
1849,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,32.0,-23.810000000000002,55.81,-0.16577599265896362,1.0,0.003244997295835587,6,0.0005408328826392645,0.0,0.0,0.0,1,83,1,1.0,True,100,True,False,0.0,0.0,0.0
1823,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,969.8400000000001,-268.58000000000004,1238.42,-0.2387464521702279,0.9982517482517482,0.1634668129456939,298,0.0,0.0,0.0017482517482517483,0.6666666666666666,2,13,2,0.9991489361702127,True,100,True,False,0.0,0.0,0.0
1738,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,111.08999999999999,0.240000000000002,110.85,-0.06068362103056469,0.08333333333333333,0.004027617951668585,7,0.04142692750287687,1.4285714285714286,0.9166666666666666,1.0,1,20,1,0.9930555555555556,True,100,True,False,0.0,0.0,0.0
1784,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,98.66,5.149999999999995,93.51,-0.060443701288802866,0.08125,0.006726457399103139,12,0.008968609865470852,5.166666666666667,0.91875,1.0,4,727,7,1.0,False,,True,False,0.75,0.0,0.2685714285714285
1734,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1407.9900000000002,-391.81000000000006,1799.8000000000002,0.023773284643414924,0.9994155464640561,0.24682814302191464,428,0.0,0.0,0.0005844535359438924,0.3333333333333333,1,25,1,1.0,True,100,True,False,0.0,0.0,0.0
1899,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,497.97999999999996,-28.19,526.17,0.0029134141600330515,0.044128646222887064,0.00315955766192733,6,0.00105318588730911,1.1666666666666667,0.955871353777113,1.0,1,24,1,0.9583333333333334,True,100,True,False,0.0,0.0,0.0
1762,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1366.3700000000003,-358.6400000000001,1725.0100000000004,-0.13146794404551676,0.9987088444157521,0.2474460839954597,436,0.0,0.0,0.0012911555842479018,0.6666666666666666,7,22,1,1.0,True,100,True,False,0.0,0.0,0.0
1797,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,75.75999999999999,-44.75,120.50999999999999,-0.11055102638995697,0.5223880597014925,0.00333889816360601,6,0.0,0.0,0.47761194029850745,0.75,1,1238,1,1.0,True,1282,True,False,0.0,0.0,0.0
1823,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,69.47999999999999,-51.81,121.28999999999999,-0.1779742292497687,0.4861111111111111,0.0,0,0.0005485463521667581,0.0,0.5138888888888888,1.0,2,,2,1.0,False,,False,False,0.0,0.0,0.0
1796,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,479.10999999999996,-277.0,756.1099999999999,-0.5109998463163407,0.8990895295902883,0.0,0,0.0,0.0,0.10091047040971168,1.0,6,,17,1.0,False,,False,False,0.0,0.0,0.0
1775,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,61.93000000000001,-36.06,97.99000000000001,-0.14990750703951494,0.30952380952380953,0.011830985915492958,21,0.0,0.0,0.6904761904761905,0.75,3,80,3,0.96,True,100,True,False,0.0,0.0,0.0
1838,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,824.47,-70.93,895.4000000000001,-0.07678767384866006,0.20751633986928106,0.11099020674646355,204,0.002720348204570185,0.0,0.7924836601307189,1.0,1,289,1,1.0,True,312,True,False,0.0,0.0,0.0
1861,5,GMG Deployment Failure,combat_mastery,HOLD FIRE LEARNED,22.72,-50.77,73.49000000000001,-0.43986175997580723,0.0,0.0,0,0.0037614185921547557,0.0,1.0,0.5,3,,3,1.0,False,,False,False,0.0,0.7,0.16000000000000003
1818,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,629.92,-354.2800000000001,984.2,-0.14820881908458763,0.8741418764302059,0.0,0,0.0,0.0,0.12585812356979406,1.0,1,,1,1.0,False,,False,False,0.0,0.0,0.0
1807,5,GMG Deployment Failure,combat_mastery,HEADSHOT SPECIALIZATION,52.17,-14.950000000000003,67.12,-0.006937184950908562,0.0,0.0,0,0.0005534034311012728,0.5714285714285714,1.0,1.0,9,,19,0.0,False,,False,False,0.6,0.6,0.1359999999999999
1888,5,GMG Deployment Failure,combat_mastery,HEADSHOT SPECIALIZATION,39.67999999999999,-24.150000000000002,63.83,-0.15068075999190922,0.0,0.0,0,0.001059322033898305,0.0,1.0,1.0,3,,3,0.0,False,,False,False,0.6,0.6,0.07866666666666666
1758,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,297.16999999999996,-118.17000000000002,415.34,-0.3499044038278008,0.5607008760951189,0.0,0,0.0,0.0,0.43929912390488113,1.0,3,,3,1.0,False,,False,False,0.0,0.0,0.0
1857,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,659.6500000000001,-411.3300000000001,1070.9800000000002,-0.15012905737578705,0.9858078602620087,0.0,0,0.0,0.0,0.014192139737991267,0.5,16,,1,1.0,False,,False,False,0.0,0.0,0.0
1743,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,532.2199999999999,-328.7500000000001,860.97,-0.29603365929111747,0.9626104690686608,0.0,0,0.0011474469305794606,0.0,0.037389530931339225,1.0,2,,1,1.0,False,,False,False,0.4,0.0,0.007999999999999952
1743,5,GMG Deployment Failure,gmg_deployment_failure,,17.279999999999998,-18.3,35.58,-0.23579329567942248,0.0,0.0,0,0.0,0.0,0.0,0.0,1,,1,0.0,False,,False,False,0.0,0.45,0.0
1805,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,43.78,-31.81,75.59,-0.21187160901275953,0.21739130434782608,0.0,0,0.0033240997229916896,0.0,0.782608695652174,0.75,1,,1,1.0,False,,False,False,0.0,0.0,0.0
